CID,IUPAC name,InChI,temp,group,pKa
C3544136,5-[3-(2H-tetrazol-5-yl)phenyl]-2H-tetrazole,"InChI=1S/C8H6N8/c1-2-5(7-9-13-14-10-7)4-6(3-1)8-11-15-16-12-8/h1-4H,(H,9,10,13,14)(H,11,12,15,16)",20,H21,3.38
C6436620,"1,2-oxazole-4-carboxylic acid","InChI=1S/C4H3NO3/c6-4(7)3-1-5-8-2-3/h1-2H,(H,6,7)",15,H11,3.39
C2218964,"2,4-dinitrobenzenethiol","InChI=1S/C6H4N2O4S/c9-7(10)4-1-2-6(13)5(3-4)8(11)12/h1-3,13H",25,H17,3.4
C7283774,bis(2-methylpropyl)carbamodithioic acid,"InChI=1S/C9H19NS2/c1-7(2)5-10(9(11)12)6-8(3)4/h7-8H,5-6H2,1-4H3,(H,11,12)",23,H31,3.4
C24065336,5-chlorothiophene-2-carboxylic acid,"InChI=1S/C5H3ClO2S/c6-4-2-1-3(9-4)5(7)8/h1-2H,(H,7,8)",25,H12,3.41
C1917153,5-methylfuran-2-carboxylic acid,"InChI=1S/C6H6O3/c1-4-2-3-5(9-4)6(7)8/h2-3H,1H3,(H,7,8)",20,H15,3.42
C22968452,selenophene-2-carboxylic acid,"InChI=1S/C5H4O2Se/c6-5(7)4-2-1-3-8-4/h1-3H,(H,6,7)",25,H12,3.43
C1044278581,4-nitrobenzoic acid,"InChI=1S/C7H5NO4/c9-7(10)5-1-3-6(4-2-5)8(11)12/h1-4H,(H,9,10)",24,H17,3.43
C7499083,3-chloro-2-methylbenzoic acid,"InChI=1S/C8H7ClO2/c1-5-6(8(10)11)3-2-4-7(5)9/h2-4H,1H3,(H,10,11)",20,H18,3.43
C24849454,4-(4-methylphenyl)-4-oxobut-2-enoic acid,"InChI=1S/C11H10O3/c1-8-2-4-9(5-3-8)10(12)6-7-11(13)14/h2-7H,1H3,(H,13,14)",25,H24,3.44
C58537987,"4-tert-butyl-2,6-dimethylbenzoic acid","InChI=1S/C13H18O2/c1-8-6-10(13(3,4)5)7-9(2)11(8)12(14)15/h6-7H,1-5H3,(H,14,15)",25,H33,3.44
C19517705,"4,4-dinitrobutanenitrile","InChI=1S/C4H5N3O4/c5-3-1-2-4(6(8)9)7(10)11/h4H,1-2H2",25,H12,3.45
C51317272,2-phenylbenzoic acid,"InChI=1S/C13H10O2/c14-13(15)12-9-5-4-8-11(12)10-6-2-1-3-7-10/h1-9H,(H,14,15)",25,H25,3.46
C527720,thiophene-2-carboxylic acid,"InChI=1S/C5H4O2S/c6-5(7)4-2-1-3-8-4/h1-3H,(H,6,7)",22,H12,3.46
C6161655,2-methoxy-6-methylbenzoic acid,"InChI=1S/C9H10O3/c1-6-4-3-5-7(12-2)8(6)9(10)11/h3-5H,1-2H3,(H,10,11)",20,H22,3.46
C832393,dicyclohexylphosphinic acid,"InChI=1S/C12H23O2P/c13-15(14,11-7-3-1-4-8-11)12-9-5-2-6-10-12/h11-12H,1-10H2,(H,13,14)",25,H38,3.47
C27178832,3-nitrobenzoic acid,"InChI=1S/C7H5NO4/c9-7(10)5-2-1-3-6(4-5)8(11)12/h1-4H,(H,9,10)",25,H17,3.47
C16789847,3-bromo-2-hydroxy-5-nitrobenzaldehyde,"InChI=1S/C7H4BrNO4/c8-6-2-5(9(12)13)1-4(3-10)7(6)11/h1-3,11H",25,H17,3.48
C89645,4-chloro-2-nitrophenol,"InChI=1S/C6H4ClNO3/c7-4-1-2-6(9)5(3-4)8(10)11/h1-3,9H",25,H15,6.4
C45776134,4-amino-1-methylpyrrole-2-carboxylic acid,"InChI=1S/C6H8N2O2/c1-8-3-4(7)2-5(8)6(9)10/h2-3H,7H2,1H3,(H,9,10)",,H18,3.5
C23384114,"1,1,1-trifluoro-N-[3-(trifluoromethyl)phenyl]methanesulfonamide","InChI=1S/C8H5F6NO2S/c9-7(10,11)5-2-1-3-6(4-5)15-18(16,17)8(12,13)14/h1-4,15H",25,H19,3.5
C1320167,2-tert-butylbenzoic acid,"InChI=1S/C11H14O2/c1-11(2,3)9-7-5-4-6-8(9)10(12)13/h4-7H,1-3H3,(H,12,13)",25,H27,3.53
C36349674,2-phenoxybenzoic acid,"InChI=1S/C13H10O3/c14-13(15)11-8-4-5-9-12(11)16-10-6-2-1-3-7-10/h1-9H,(H,14,15)",25,H26,3.53
C138410,4-sulfamoylbenzoic acid,"InChI=1S/C7H7NO4S/c8-13(11,12)6-3-1-5(2-4-6)7(9)10/h1-4H,(H,9,10)(H2,8,11,12)",20,H20,3.53
C14389107,4-(2H-tetrazol-5-yl)benzonitrile,"InChI=1S/C8H5N5/c9-5-6-1-3-7(4-2-6)8-10-12-13-11-8/h1-4H,(H,10,11,12,13)",20,H18,3.53
C619658,4-cyanobenzoic acid,"InChI=1S/C8H5NO2/c9-5-6-1-3-7(4-2-6)8(10)11/h1-4H,(H,10,11)",22,H16,3.53
C27458066,2-benzoylbenzoic acid,"InChI=1S/C14H10O3/c15-13(10-6-2-1-3-7-10)11-8-4-5-9-12(11)14(16)17/h1-9H,(H,16,17)",25,H27,3.54
C20485410,"4-methyl-1,3-thiazole-5-carboxylic acid","InChI=1S/C5H5NO2S/c1-3-4(5(7)8)9-2-6-3/h2H,1H3,(H,7,8)",20,H14,3.54
C680035,di(propan-2-yl)phosphinic acid,"InChI=1S/C6H15O2P/c1-5(2)9(7,8)6(3)4/h5-6H,1-4H3,(H,7,8)",25,H24,3.56
C2099732,"1,3-dimethyl-8-nitro-7H-purine-2,6-dione","InChI=1S/C7H7N5O4/c1-10-4-3(5(13)11(2)7(10)14)8-6(9-4)12(15)16/h1-2H3,(H,8,9)",,H17,3.58
C79669491,5-bromo-2-methylbenzoic acid,"InChI=1S/C8H7BrO2/c1-5-2-3-6(9)4-7(5)8(10)11/h2-4H,1H3,(H,10,11)",20,H18,3.58
C41406988,2-fluorobenzoic acid,"InChI=1S/C7H5FO2/c8-6-4-2-1-3-5(6)7(9)10/h1-4H,(H,9,10)",25,H15,3.6
C1877721,3-cyanobenzoic acid,"InChI=1S/C8H5NO2/c9-5-6-2-1-3-7(4-6)8(10)11/h1-4H,(H,10,11)",23,H16,3.6
C41421287,5-(3-chlorophenyl)-2H-tetrazole,"InChI=1S/C7H5ClN4/c8-6-3-1-2-5(4-6)7-9-11-12-10-7/h1-4H,(H,9,10,11,12)",20,H17,3.61
C96980,4-methyl-3-nitrobenzoic acid,"InChI=1S/C8H7NO4/c1-5-2-3-6(8(10)11)4-7(5)9(12)13/h2-4H,1H3,(H,10,11)",20,H20,3.62
C7499061,5-chloro-2-methylbenzoic acid,"InChI=1S/C8H7ClO2/c1-5-2-3-6(9)4-7(5)8(10)11/h2-4H,1H3,(H,10,11)",20,H18,3.63
C2438042,2-propan-2-ylbenzoic acid,"InChI=1S/C10H12O2/c1-7(2)8-5-3-4-6-9(8)10(11)12/h3-7H,1-2H3,(H,11,12)",25,H24,3.64
C3973088,"1,3-thiazole-4-carboxylic acid","InChI=1S/C4H3NO2S/c6-4(7)3-1-8-2-5-3/h1-2H,(H,6,7)",25,H11,3.64
C79602587,4-propan-2-ylthiophene-2-carboxylic acid,"InChI=1S/C8H10O2S/c1-5(2)6-3-7(8(9)10)11-4-6/h3-5H,1-2H3,(H,9,10)",25,H21,3.64
C723626,anthracene-9-carboxylic acid,"InChI=1S/C15H10O2/c16-15(17)14-12-7-3-1-5-10(12)9-11-6-2-4-8-13(11)14/h1-9H,(H,16,17)",20,H27,3.65
C3113711,3-methyl-4-nitrobenzoic acid,"InChI=1S/C8H7NO4/c1-5-4-6(8(10)11)2-3-7(5)9(12)13/h2-4H,1H3,(H,10,11)",20,H20,3.65
C75138,,InChI=1S/CHNO/c2-1-3/h2H,22,H4,3.67
C82069145,formic acid,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)",23,H5,3.69
C57585087,4-phenylbut-3-enoate,"InChI=1S/C10H8O2/c11-10(12)8-4-7-9-5-2-1-3-6-9/h1-3,5-8H,(H,11,12)",25,H20,3.7
C104315562,3-methoxy-1-benzofuran-2-carboxylic acid,"InChI=1S/C10H8O4/c1-13-8-6-4-2-3-5-7(6)14-9(8)10(11)12/h2-5H,1H3,(H,11,12)",20,H22,3.7
C1320043,naphthalene-1-carboxylic acid,"InChI=1S/C11H8O2/c12-11(13)10-7-3-5-8-4-1-2-6-9(8)10/h1-7H,(H,12,13)",25,H21,3.7
C607421,anthracene-1-carboxylic acid,"InChI=1S/C15H10O2/c16-15(17)13-7-3-6-12-8-10-4-1-2-5-11(10)9-14(12)13/h1-9H,(H,16,17)",20,H27,3.7
C100523840,5-bromothiophene-3-carboxylic acid,"InChI=1S/C5H3BrO2S/c6-4-1-3(2-9-4)5(7)8/h1-2H,(H,7,8)",25,H12,3.7
C99285,"2,6-dibromo-4-nitrophenol","InChI=1S/C6H3Br2NO3/c7-4-1-3(9(11)12)2-5(8)6(4)10/h1-2,10H",25,H15,3.7
C618804,"2,6-dichloro-4-nitrophenol","InChI=1S/C6H3Cl2NO3/c7-4-1-3(9(11)12)2-5(8)6(4)10/h1-2,10H",25,H15,3.7
C55289060,3-methoxy-2-methylbenzoic acid,"InChI=1S/C9H10O3/c1-6-7(9(10)11)4-3-5-8(6)12-2/h3-5H,1-2H3,(H,10,11)",20,H22,3.72
C50907238,5-(4-bromophenyl)-2H-tetrazole,"InChI=1S/C7H5BrN4/c8-6-3-1-5(2-4-6)7-9-11-12-10-7/h1-4H,(H,9,10,11,12)",20,H17,3.73
C7499072,4-chloro-2-methylbenzoic acid,"InChI=1S/C8H7ClO2/c1-5-4-6(9)2-3-7(5)8(10)11/h2-4H,1H3,(H,10,11)",20,H18,3.75
C541571,3-hydroxy-2H-furan-5-one,"InChI=1S/C4H4O3/c5-3-1-4(6)7-2-3/h1,6H,2H2",25,H11,3.76
C1918792,5-methylthiophene-2-carboxylic acid,"InChI=1S/C6H6O2S/c1-4-2-3-5(9-4)6(7)8/h2-3H,1H3,(H,7,8)",,H15,3.76
C68837592,4-bromo-2-methylbenzoic acid,"InChI=1S/C8H7BrO2/c1-5-4-6(9)2-3-7(5)8(10)11/h2-4H,1H3,(H,10,11)",20,H18,3.77
C585762,3-bromobenzoic acid,"InChI=1S/C7H5BrO2/c8-6-3-1-2-5(4-6)7(9)10/h1-4H,(H,9,10)",22,H15,3.79
C137497031,1H-indole-2-carboxylic acid,"InChI=1S/C9H7NO2/c11-9(12)8-5-6-3-1-2-4-7(6)10-8/h1-5,10H,(H,11,12)",22,H19,3.79
C36157423,5-chlorothiophene-3-carboxylic acid,"InChI=1S/C5H3ClO2S/c6-4-1-3(2-9-4)5(7)8/h1-2H,(H,7,8)",25,H12,3.8
C535808,3-chlorobenzoic acid,"InChI=1S/C7H5ClO2/c8-6-3-1-2-5(4-6)7(9)10/h1-4H,(H,9,10)",24,H15,3.8
C883625,3-methoxynaphthalene-2-carboxylic acid,"InChI=1S/C12H10O3/c1-15-11-7-9-5-3-2-4-8(9)6-10(11)12(13)14/h2-7H,1H3,(H,13,14)",25,H25,3.82
C102845625,5-aminopent-2-enoic acid,"InChI=1S/C5H9NO2/c6-4-2-1-3-5(7)8/h1,3H,2,4,6H2,(H,7,8)",22,H17,3.83
C73096421,5-(2-bromophenyl)-2H-tetrazole,"InChI=1S/C7H5BrN4/c8-6-4-2-1-3-5(6)7-9-11-12-10-7/h1-4H,(H,9,10,11,12)",20,H17,3.83
C603805,3-hydroxy-2-methylbenzoic acid,"InChI=1S/C8H8O3/c1-5-6(8(10)11)3-2-4-7(5)9/h2-4,9H,1H3,(H,10,11)",20,H19,3.83
C3168590,5-methoxy-2-methylbenzoic acid,"InChI=1S/C9H10O3/c1-6-3-4-7(12-2)5-8(6)9(10)11/h3-5H,1-2H3,(H,10,11)",20,H22,3.84
C26507915,2-methoxy-3-methylbenzoic acid,"InChI=1S/C9H10O3/c1-6-4-3-5-7(9(10)11)8(6)12-2/h3-5H,1-2H3,(H,10,11)",20,H22,3.84
C88550190,2-(methoxymethyl)benzoic acid,"InChI=1S/C9H10O3/c1-12-6-7-4-2-3-5-8(7)9(10)11/h2-5H,6H2,1H3,(H,10,11)",25,H22,3.85
C41248139,1-hydroxycyclobutane-1-carboxylic acid,"InChI=1S/C5H8O3/c6-4(7)5(8)2-1-3-5/h8H,1-3H2,(H,6,7)",25,H16,3.88
C3724105,2-methylsulfanylbenzoic acid,"InChI=1S/C8H8O2S/c1-11-7-5-3-2-4-6(7)8(9)10/h2-5H,1H3,(H,9,10)",25,H19,3.89
C39968291,4-chloro-1-hydroxybenzotriazole,"InChI=1S/C6H4ClN3O/c7-4-2-1-3-5-6(4)8-9-10(5)11/h1-3,11H",25,H15,3.9
C455389,3-fluorobenzoic acid,"InChI=1S/C7H5FO2/c8-6-3-1-2-5(4-6)7(9)10/h1-4H,(H,9,10)",16,H15,3.9
C73096363,5-(3-methoxyphenyl)-2H-tetrazole,"InChI=1S/C8H8N4O/c1-13-7-4-2-3-6(5-7)8-9-11-12-10-8/h2-5H,1H3,(H,9,10,11,12)",20,H18,3.91
C578223,5-hydroxy-2-methylbenzoic acid,"InChI=1S/C8H8O3/c1-5-2-3-6(9)4-7(5)8(10)11/h2-4,9H,1H3,(H,10,11)",20,H19,3.92
C127379231,8-methyl-8-azabicyclo[3.2.1]oct-2-ene-2-carboxylic acid,"InChI=1S/C9H13NO2/c1-10-6-2-4-7(9(11)12)8(10)5-3-6/h4,6,8H,2-3,5H2,1H3,(H,11,12)",16,H25,3.93
C488937,furan-3-carboxylic acid,"InChI=1S/C5H4O3/c6-5(7)4-1-2-8-3-4/h1-3H,(H,6,7)",20,H12,3.94
C3179111,4-(2-nitroethenyl)benzoic acid,"InChI=1S/C9H7NO4/c11-9(12)8-3-1-7(2-4-8)5-6-10(13)14/h1-6H,(H,11,12)",25,H21,3.94
C832089608,"3-cyano-2,2-dimethyl-3-phenylpropanoic acid","InChI=1S/C12H13NO2/c1-12(2,11(14)15)10(8-13)9-6-4-3-5-7-9/h3-7,10H,1-2H3,(H,14,15)",25,H28,3.95
C147842,diethylcarbamodithioic acid,"InChI=1S/C5H11NS2/c1-3-6(4-2)5(7)8/h3-4H2,1-2H3,(H,7,8)",25,H19,3.95
C64725775,bicyclo[2.1.1]hexane-1-carboxylic acid,"InChI=1S/C7H10O2/c8-6(9)7-2-1-5(3-7)4-7/h5H,1-4H2,(H,8,9)",25,H19,3.96
C4869594,3-sulfanylbenzoic acid,"InChI=1S/C7H6O2S/c8-7(9)5-2-1-3-6(10)4-5/h1-4,10H,(H,8,9)",25,H16,3.96
C7697269,3-bromo-4-methylbenzoic acid,"InChI=1S/C8H7BrO2/c1-5-2-3-6(8(10)11)4-7(5)9/h2-4H,1H3,(H,10,11)",20,H18,3.96
C26198210,1-hydroxy-6-(trifluoromethyl)benzotriazole,"InChI=1S/C7H4F3N3O/c8-7(9,10)4-1-2-5-6(3-4)13(14)12-11-5/h1-3,14H",25,H18,3.97
C610720,"2,5-dimethylbenzoic acid","InChI=1S/C9H10O2/c1-6-3-4-7(2)8(5-6)9(10)11/h3-5H,1-2H3,(H,10,11)",24,H21,3.97
C6936487,4-(methylamino)-4-oxobut-2-enoic acid,"InChI=1S/C5H7NO3/c1-6-4(7)2-3-5(8)9/h2-3H,1H3,(H,6,7)(H,8,9)",39,H16,3.98
C1173019287,4-chlorobenzoic acid,"InChI=1S/C7H5ClO2/c8-6-3-1-5(2-4-6)7(9)10/h1-4H,(H,9,10)",23,H15,3.98
C31602649,2-(2H-tetrazol-5-yl)ethanamine,"InChI=1S/C3H7N5/c4-2-1-3-5-7-8-6-3/h1-2,4H2,(H,5,6,7,8)",25,H15,3.99
C696220,5-methyl-1H-pyrazole-3-carboxylic acid,"InChI=1S/C5H6N2O2/c1-3-2-4(5(8)9)7-6-3/h2H,1H3,(H,6,7)(H,8,9)",22,H15,3.99
C586765,4-bromobenzoic acid,"InChI=1S/C7H5BrO2/c8-6-3-1-5(2-4-6)7(9)10/h1-4H,(H,9,10)",20,H15,3.99
C145358630,2-amino-1H-pyrimidin-6-one,"InChI=1S/C4H5N3O/c5-4-6-2-1-3(8)7-4/h1-2H,(H3,5,6,7,8)",25,H9,9.42
C7713793,"3-phenyl-2H-1,2-oxazol-5-one","InChI=1S/C9H7NO2/c11-9-6-8(10-12-9)7-4-2-1-3-5-7/h1-6,11H",,H16,4.01
C7697281,4-bromo-3-methylbenzoic acid,"InChI=1S/C8H7BrO2/c1-5-4-6(8(10)11)2-3-7(5)9/h2-4H,1H3,(H,10,11)",20,H18,4.03
C3454033,1H-pyridin-4-one,"InChI=1S/C5H5NO/c7-5-1-3-6-4-2-5/h1-4H,(H,6,7)",24,H12,4.04
C20920030,1-hydroxycycloheptane-1-carboxylic acid,"InChI=1S/C8H14O3/c9-7(10)8(11)5-3-1-2-4-6-8/h11H,1-6H2,(H,9,10)",25,H25,4.04
C5162823,3-chloro-4-methylbenzoic acid,"InChI=1S/C8H7ClO2/c1-5-2-3-6(8(10)11)4-7(5)9/h2-4H,1H3,(H,10,11)",20,H18,4.06
C52787174,4-(2-amino-2-oxoethyl)benzoic acid,"InChI=1S/C9H9NO3/c10-8(11)5-6-1-3-7(4-2-6)9(12)13/h1-4H,5H2,(H2,10,11)(H,12,13)",25,H22,4.06
C7697292,4-chloro-3-methylbenzoic acid,"InChI=1S/C8H7ClO2/c1-5-4-6(8(10)11)2-3-7(5)9/h2-4H,1H3,(H,10,11)",20,H18,4.07
C51449866,5-(2-methylphenyl)-2H-tetrazole,"InChI=1S/C8H8N4/c1-6-4-2-3-5-7(6)8-9-11-12-10-8/h2-5H,1H3,(H,9,10,11,12)",20,H20,4.09
C22105095,4-hydroxychromen-2-one,"InChI=1S/C9H6O3/c10-7-5-9(11)12-8-4-2-1-3-6(7)8/h1-5,10H",20,H18,4.1
C16841193,1-hydroxycyclopentane-1-carboxylic acid,"InChI=1S/C6H10O3/c7-5(8)6(9)3-1-2-4-6/h9H,1-4H2,(H,7,8)",25,H19,4.11
C7151680,3-methoxy-4-methylbenzoic acid,"InChI=1S/C9H10O3/c1-6-3-4-7(9(10)11)5-8(6)12-2/h3-5H,1-2H3,(H,10,11)",20,H22,4.13
C60772670,3-propan-2-yloxybenzoic acid,"InChI=1S/C10H12O3/c1-7(2)13-9-5-3-4-8(6-9)10(11)12/h3-7H,1-2H3,(H,11,12)",20,H25,4.15
C36858385,6-chloro-1-hydroxybenzotriazole,"InChI=1S/C6H4ClN3O/c7-4-1-2-5-6(3-4)10(11)9-8-5/h1-3,11H",25,H15,4.15
C3441007,5-(3-methylphenyl)-2H-tetrazole,"InChI=1S/C8H8N4/c1-6-3-2-4-7(5-6)8-9-11-12-10-8/h2-5H,1H3,(H,9,10,11,12)",20,H20,4.15
C127695,"4-amino-N-(3,4-dimethyl-1,2-oxazol-5-yl)benzenesulfonamide","InChI=1S/C11H13N3O3S/c1-7-8(2)13-17-11(7)14-18(15,16)10-5-3-9(12)4-6-10/h3-6,14H,12H2,1-2H3",25,H19,4.16
C456224,4-fluorobenzoic acid,"InChI=1S/C7H5FO2/c8-6-3-1-5(2-4-6)7(9)10/h1-4H,(H,9,10)",25,H15,4.16
C613081,anthracene-2-carboxylic acid,"InChI=1S/C15H10O2/c16-15(17)13-6-5-12-7-10-3-1-2-4-11(10)8-14(12)9-13/h1-9H,(H,16,17)",20,H27,4.18
C26185648,5-chloro-1-hydroxybenzotriazole,"InChI=1S/C6H4ClN3O/c7-4-1-2-6-5(3-4)8-9-10(6)11/h1-3,11H",25,H15,4.18
C58590491,4-(hydroxymethyl)benzoic acid,"InChI=1S/C8H8O3/c9-5-6-1-3-7(4-2-6)8(10)11/h1-4,9H,5H2,(H,10,11)",25,H19,4.18
C611018,"2,4-dimethylbenzoic acid","InChI=1S/C9H10O2/c1-6-3-4-8(9(10)11)7(2)5-6/h3-5H,1-2H3,(H,10,11)",25,H21,4.18
C67003503,4-(methoxymethyl)benzoic acid,"InChI=1S/C9H10O3/c1-12-6-7-2-4-8(5-3-7)9(10)11/h2-5H,6H2,1H3,(H,10,11)",25,H22,4.18
C26537688,1-benzofuran-3-carboxylic acid,"InChI=1S/C9H6O3/c10-9(11)7-5-12-8-4-2-1-3-6(7)8/h1-5H,(H,10,11)",20,H18,4.18
C19156515,5-ethylthiophene-3-carboxylic acid,"InChI=1S/C7H8O2S/c1-2-6-3-5(4-10-6)7(8)9/h3-4H,2H2,1H3,(H,8,9)",25,H18,4.19
C24631876,4-hydroxy-5-methylchromen-2-one,"InChI=1S/C10H8O3/c1-6-3-2-4-8-10(6)7(11)5-9(12)13-8/h2-5,11H,1H3",20,H21,4.2
C38387927,"2,6-dibromo-4-[3-(3,5-dibromo-4-hydroxyphenyl)-1,1-dioxo-2,1lambda6-benzoxathiol-3-yl]phenol","InChI=1S/C19H10Br4O5S/c20-12-5-9(6-13(21)17(12)24)19(10-7-14(22)18(25)15(23)8-10)11-3-1-2-4-16(11)29(26,27)28-19/h1-8,24-25H",25,H38,4.2
C530574,"4-hydroxy-3,5-dimethoxybenzoic acid","InChI=1S/C9H10O5/c1-13-6-3-5(9(11)12)4-7(14-2)8(6)10/h3-4,10H,1-2H3,(H,11,12)",20,H24,4.2
C880502,3-fluoroadamantane-1-carboxylic acid,"InChI=1S/C11H15FO2/c12-11-4-7-1-8(5-11)3-10(2-7,6-11)9(13)14/h7-8H,1-6H2,(H,13,14)",,H29,4.22
C562836640,4-methylsulfanylbenzoic acid,"InChI=1S/C8H8O2S/c1-11-7-4-2-6(3-5-7)8(9)10/h2-5H,1H3,(H,9,10)",25,H19,4.23
C2100314,2-propoxybenzoic acid,"InChI=1S/C10H12O3/c1-2-7-13-9-6-4-3-5-8(9)10(11)12/h3-6H,2,7H2,1H3,(H,11,12)",20,H25,4.24
C15290285,3-trimethylsilylbenzoic acid,"InChI=1S/C10H14O2Si/c1-13(2,3)9-6-4-5-8(7-9)10(11)12/h4-7H,1-3H3,(H,11,12)",25,H27,4.24
C19156504,5-methylthiophene-3-carboxylic acid,"InChI=1S/C6H6O2S/c1-4-2-5(3-9-4)6(7)8/h2-3H,1H3,(H,7,8)",25,H15,4.24
C677769,ditert-butylphosphinic acid,"InChI=1S/C8H19O2P/c1-7(2,3)11(9,10)8(4,5)6/h1-6H3,(H,9,10)",25,H30,4.24
C5381259,1-benzothiophene-3-carboxylic acid,"InChI=1S/C9H6O2S/c10-9(11)7-5-12-8-4-2-1-3-6(7)8/h1-5H,(H,10,11)",20,H18,4.24
C55927872,prop-2-enoic acid,"InChI=1S/C3H4O2/c1-2-3(4)5/h2H,1H2,(H,4,5)",25,H9,4.25
C15290296,4-trimethylsilylbenzoic acid,"InChI=1S/C10H14O2Si/c1-13(2,3)9-6-4-8(5-7-9)10(11)12/h4-7H,1-3H3,(H,11,12)",25,H27,4.27
C144676197,"2-phenylethene-1,1-diol","InChI=1S/C8H8O2/c9-8(10)6-7-4-2-1-3-5-7/h1-6,9-10H",24,H18,4.27
C99073457,2-[(4-aminophenyl)-hydroxymethylidene]propanedinitrile,"InChI=1S/C10H7N3O/c11-5-8(6-12)10(14)7-1-3-9(13)4-2-7/h1-4,14H,13H2",,H21,4.28
C51517885,4-(2H-tetrazol-5-yl)phenol,"InChI=1S/C7H6N4O/c12-6-3-1-5(2-4-6)7-8-10-11-9-7/h1-4,12H,(H,8,9,10,11)",20,H17,4.28
C22621256,4-ethyl-3-hydroxy-2H-furan-5-one,"InChI=1S/C6H8O3/c1-2-4-5(7)3-9-6(4)8/h8H,2-3H2,1H3",,H17,4.29
C499069,"3,5-dimethylbenzoic acid","InChI=1S/C9H10O2/c1-6-3-7(2)5-8(4-6)9(10)11/h3-5H,1-2H3,(H,10,11)",23,H21,4.3
C536663,4-propan-2-ylbenzoic acid,"InChI=1S/C10H12O2/c1-7(2)8-3-5-9(6-4-8)10(11)12/h3-7H,1-2H3,(H,11,12)",25,H24,4.31
C586301,3-hydroxy-4-methylbenzoic acid,"InChI=1S/C8H8O3/c1-5-2-3-6(8(10)11)4-7(5)9/h2-4,9H,1H3,(H,10,11)",20,H19,4.32
C10590735,3-methyl-1H-indole-2-carboxylic acid,"InChI=1S/C10H9NO2/c1-6-7-4-2-3-5-8(7)11-9(6)10(12)13/h2-5,11H,1H3,(H,12,13)",25,H22,4.33
C50974726,"buta-1,3-diene-1,1-diol","InChI=1S/C4H6O2/c1-2-3-4(5)6/h2-3,5-6H,1H2",21,H11,4.33
C1150590,"4-hydroxy-3-phenylnaphthalene-1,2-dione","InChI=1S/C16H10O3/c17-14-11-8-4-5-9-12(11)15(18)16(19)13(14)10-6-2-1-3-7-10/h1-9,19H",,H28,4.35
C6880042,4-methoxy-3-methylbenzoic acid,"InChI=1S/C9H10O3/c1-6-5-7(9(10)11)3-4-8(6)12-2/h3-5H,1-2H3,(H,10,11)",20,H22,4.35
C98737,4-tert-butylbenzoic acid,"InChI=1S/C11H14O2/c1-11(2,3)9-6-4-8(5-7-9)10(12)13/h4-7H,1-3H3,(H,12,13)",25,H27,4.36
C51449775,2-(2H-tetrazol-5-yl)phenol,"InChI=1S/C7H6N4O/c12-6-4-2-1-3-5(6)7-8-10-11-9-7/h1-4,12H,(H,8,9,10,11)",20,H17,4.36
C2420975,4-methylbenzoic acid,"InChI=1S/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)",24,H18,4.37
C56964933,"N-(2-phenylethyl)-1H-pyrazolo[3,4-d]pyrimidin-4-amine","InChI=1S/C13H13N5/c1-2-4-10(5-3-1)6-7-14-12-11-8-17-18-13(11)16-9-15-12/h1-5,8-9H,6-7H2,(H2,14,15,16,17,18)",20,H27,4.38
C704450,2-methoxy-4-methylbenzoic acid,"InChI=1S/C9H10O3/c1-6-3-4-7(9(10)11)8(5-6)12-2/h3-5H,1-2H3,(H,10,11)",20,H22,4.38
C2411952,cyclooctatetraenecarboxylic acid,"InChI=1S/C9H8O2/c10-9(11)8-6-4-2-1-3-5-7-8/h1-7H,(H,10,11)/b2-1-,3-1?,4-2?,5-3-,6-4-,7-5?,8-6?,8-7+",,H19,4.4
C619045,"3,4-dimethylbenzoic acid","InChI=1S/C9H10O2/c1-6-3-4-8(9(10)11)5-7(6)2/h3-5H,1-2H3,(H,10,11)",25,H21,4.41
C1798829,4-cyclopropylbenzoic acid,"InChI=1S/C10H10O2/c11-10(12)9-5-3-8(4-6-9)7-1-2-7/h3-7H,1-2H2,(H,11,12)",25,H22,4.42
C1486517,4-phenylmethoxybenzoic acid,"InChI=1S/C14H12O3/c15-14(16)12-6-8-13(9-7-12)17-10-11-4-2-1-3-5-11/h1-9H,10H2,(H,15,16)",25,H29,4.44
C27914609,4-prop-2-enoxybenzoic acid,"InChI=1S/C10H10O3/c1-2-7-13-9-5-3-8(4-6-9)10(11)12/h2-6H,1,7H2,(H,11,12)",25,H23,4.45
C73424029,4-methoxybenzoic acid,"InChI=1S/C8H8O3/c1-11-7-4-2-6(3-5-7)8(9)10/h2-5H,1H3,(H,9,10)",22,H19,4.45
C16634905,5-chloro-2-hydroxy-3-nitrobenzaldehyde,"InChI=1S/C7H4ClNO4/c8-5-1-4(3-10)7(11)6(2-5)9(12)13/h1-3,11H",25,H17,4.46
C1498960,4-butoxybenzoic acid,"InChI=1S/C11H14O3/c1-2-3-8-14-10-6-4-9(5-7-10)11(12)13/h4-7H,2-3,8H2,1H3,(H,12,13)",25,H28,4.48
C15872410,4-pentoxybenzoic acid,"InChI=1S/C12H16O3/c1-2-3-4-9-15-11-7-5-10(6-8-11)12(13)14/h5-8H,2-4,9H2,1H3,(H,13,14)",25,H31,4.49
